City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
492,kutum,14.2,24.6667,23.7,19,100,4.25,SD,1681607210
493,roebourne,-20.7833,117.1333,22.8,28,6,9.73,AU,1681607210
494,saint-francois,46.4154,3.9054,6.69,93,40,6.17,FR,1681607211
495,lipari,38.4674,14.954,14.04,72,100,9.04,IT,1681607211
496,north platte,41.1239,-100.7654,8.4,43,0,8.49,US,1681607212
497,pendleton,45.6721,-118.7886,17.56,41,100,4.02,US,1681607212
498,souillac,-20.5167,57.5167,24.21,94,40,1.54,MU,1681607213
499,kathu,7.9178,98.3332,28.9,73,100,5.57,TH,1681607213
500,dakoro,14.5106,6.765,28.68,14,100,3.7,NE,1681607214
501,wharton,29.3116,-96.1027,26.99,89,100,2.06,US,1681607214
502,maningrida,-12.0667,134.2667,29.57,69,100,1.96,AU,1681607214
503,novyy urengoy,66.0833,76.6333,-21.74,94,86,5.55,RU,1681607216
504,poum,-20.2333,164.0167,24.84,87,100,10.0,NC,1681607216
505,abu samrah,35.3029,37.1841,14.97,46,100,0.71,SY,1681607217
506,sibolga,1.7427,98.7792,25.29,86,100,1.14,ID,1681607218
507,peleduy,59.6289,112.7406,-10.62,90,100,4.53,RU,1681607218
508,aleksandrov gay,50.147,48.5704,-0.33,51,0,4.31,RU,1681607219
509,yuxia,34.0615,108.6291,24.49,43,11,0.79,CN,1681607219
510,anadyr,64.75,177.4833,-12.72,65,0,6.0,RU,1681607220
511,port-gentil,-0.7193,8.7815,27.49,79,100,5.05,GA,1681607221
512,maragogi,-9.0122,-35.2225,25.63,77,96,1.87,BR,1681607221
513,korla,41.7597,86.1469,18.75,20,100,2.43,CN,1681607222
514,veraval,20.9,70.3667,25.05,83,0,2.96,IN,1681607223
515,pafos,34.7667,32.4167,13.88,77,13,0.0,CY,1681607224
516,pulawy,51.4166,21.9694,8.17,93,71,3.7,PL,1681607224
517,north bend,43.4065,-124.2243,12.36,66,100,5.66,US,1681607218
518,mahuta,-10.8667,39.45,19.09,98,11,1.16,TZ,1681607226
519,pacific grove,36.6177,-121.9166,17.05,73,0,4.63,US,1681607226
520,avera,33.194,-82.5271,20.73,72,100,3.04,US,1681607227
521,pravdinsk,54.4429,21.0179,5.96,94,100,3.94,RU,1681607228
522,rapid valley,44.0625,-103.1463,6.17,44,20,6.69,US,1681607228
523,lokoja,7.8024,6.743,28.02,72,86,3.47,NG,1681607229
524,kilakarai,9.2333,78.7833,28.21,73,10,2.0,IN,1681607230
525,biryusinsk,55.9634,97.8235,-7.33,73,12,1.55,RU,1681607230
526,sungaipenuh,-2.0833,101.3833,20.78,85,100,0.71,ID,1681607231
527,novoagansk,61.9449,76.6625,-21.41,95,21,3.49,RU,1681607232
528,atbasar,51.8,68.3333,-11.21,88,100,2.78,KZ,1681607233
529,nouakchott,18.0858,-15.9785,28.96,60,6,6.3,MR,1681607234
530,dabakala,8.3667,-4.4333,26.92,72,100,3.26,CI,1681607235
531,guane,22.2025,-84.0875,24.82,76,24,2.12,CU,1681607235
532,the pas,53.8251,-101.2541,2.06,95,91,1.6,CA,1681607236
533,funadhoo,6.15,73.2667,28.21,74,19,1.27,MV,1681607237
534,hailey,43.5196,-114.3153,6.61,53,40,2.57,US,1681607238
535,sao felix do xingu,-6.6447,-51.995,23.46,94,100,0.85,BR,1681607210
536,eureka,40.8021,-124.1637,12.04,72,34,1.34,US,1681607239
537,barinas,8.6226,-70.2075,32.02,43,59,1.81,VE,1681607240
538,ginda,30.6945,78.4932,13.48,32,6,3.99,IN,1681607241
539,westport,41.1415,-73.3579,17.75,90,100,0.89,US,1681607242
